,실험 이름 :,20240723
지속기간:,2 0
'0:0:11.3,8320
'0:0:11.35,8325
'0:0:11.4,8332
'0:0:11.45,8324
'0:0:11.5,8296
'0:0:11.55,8255
'0:0:11.6,8203
'0:0:11.65,8135
'0:0:11.7,8053
'0:0:11.75,7935
'0:0:11.8,7822
'0:0:11.85,7699
'0:0:11.9,7577
'0:0:11.95,7468
'0:0:12.0,7381
'0:0:12.05,7291
'0:0:12.1,7218
'0:0:12.15,7150
'0:0:12.2,7094
'0:0:12.25,7040
'0:0:12.3,6995
'0:0:12.35,6950
'0:0:12.4,6916
'0:0:12.45,6874
'0:0:12.5,6832
'0:0:12.55,6802
'0:0:12.6,6779
'0:0:12.65,6754
'0:0:12.7,6732
'0:0:12.75,6698
'0:0:12.8,6663
'0:0:12.85,6626
'0:0:12.9,6593
'0:0:12.95,6563
'0:0:13.0,6540
'0:0:13.05,6516
'0:0:13.1,6496
'0:0:13.15,6484
'0:0:13.2,6471
'0:0:13.25,6450
'0:0:13.3,6440
'0:0:13.35,6441
'0:0:13.4,6442
'0:0:13.45,6441
'0:0:13.5,6434
'0:0:13.55,6422
'0:0:13.6,6419
'0:0:13.65,6421
'0:0:13.7,6426
'0:0:13.75,6438
'0:0:13.8,6452
'0:0:13.85,6475
'0:0:13.9,6502
'0:0:13.95,6540
'0:0:14.0,6584
'0:0:14.05,6626
'0:0:14.1,6669
'0:0:14.15,6739
'0:0:14.2,6811
'0:0:14.25,6883
'0:0:14.3,6940
'0:0:14.35,6991
'0:0:14.4,7041
'0:0:14.45,7095
'0:0:14.5,7140
'0:0:14.55,7187
'0:0:14.6,7227
'0:0:14.65,7269
'0:0:14.7,7302
'0:0:14.75,7331
'0:0:14.8,7358
'0:0:14.85,7384
'0:0:14.9,7394
'0:0:14.95,7409
'0:0:15.0,7441
'0:0:15.05,7477
'0:0:15.1,7513
'0:0:15.15,7555
'0:0:15.2,7589
'0:0:15.25,7628
'0:0:15.3,7667
'0:0:15.35,7706
'0:0:15.4,7741
'0:0:15.45,7780
'0:0:15.5,7813
'0:0:15.55,7846
'0:0:15.6,7879
'0:0:15.65,7915
'0:0:15.7,7943
'0:0:15.75,7972
'0:0:15.8,7996
'0:0:15.85,8015
'0:0:15.9,8026
'0:0:15.95,8017
'0:0:16.0,7982
'0:0:16.05,7930
'0:0:16.1,7872
'0:0:16.15,7791
'0:0:16.2,7699
'0:0:16.25,7601
'0:0:16.3,7515
'0:0:16.35,7425
'0:0:16.4,7350
'0:0:16.45,7267
'0:0:16.5,7198
'0:0:16.55,7137
'0:0:16.6,7086
'0:0:16.65,7038
'0:0:16.7,6991
'0:0:16.75,6935
'0:0:16.8,6891
'0:0:16.85,6851
'0:0:16.9,6814
'0:0:16.95,6778
'0:0:17.0,6751
'0:0:17.05,6726
'0:0:17.1,6709
'0:0:17.15,6687
'0:0:17.2,6659
'0:0:17.25,6638
'0:0:17.3,6628
'0:0:17.35,6615
'0:0:17.4,6606
'0:0:17.45,6591
'0:0:17.5,6573
'0:0:17.55,6559
'0:0:17.6,6550
'0:0:17.65,6541
'0:0:17.7,6539
'0:0:17.75,6539
'0:0:17.8,6540
'0:0:17.85,6541
'0:0:17.9,6550
'0:0:17.95,6556
'0:0:18.0,6554
'0:0:18.05,6561
'0:0:18.1,6575
'0:0:18.15,6594
'0:0:18.2,6616
'0:0:18.25,6638
'0:0:18.3,6661
'0:0:18.35,6692
'0:0:18.4,6719
'0:0:18.45,6755
'0:0:18.5,6798
'0:0:18.55,6847
'0:0:18.6,6887
'0:0:18.65,6923
'0:0:18.7,6963
'0:0:18.75,7012
'0:0:18.8,7046
'0:0:18.85,7083
'0:0:18.9,7128
'0:0:18.95,7168
'0:0:19.0,7203
'0:0:19.05,7244
'0:0:19.1,7272
'0:0:19.15,7300
'0:0:19.2,7330
'0:0:19.25,7361
'0:0:19.3,7391
'0:0:19.35,7423
'0:0:19.4,7452
'0:0:19.45,7489
'0:0:19.5,7531
'0:0:19.55,7580
'0:0:19.6,7616
'0:0:19.65,7653
'0:0:19.7,7693
'0:0:19.75,7733
'0:0:19.8,7769
'0:0:19.85,7812
'0:0:19.9,7843
'0:0:19.95,7869
'0:0:20.0,7897
'0:0:20.05,7929
'0:0:20.1,7948
'0:0:20.15,7961
'0:0:20.2,7972
'0:0:20.25,7979
'0:0:20.3,7989
'0:0:20.35,8005
'0:0:20.4,8010
'0:0:20.45,8011
'0:0:20.5,8010
'0:0:20.55,7988
'0:0:20.6,7947
'0:0:20.65,7875
'0:0:20.7,7772
'0:0:20.75,7647
'0:0:20.8,7537
'0:0:20.85,7418
'0:0:20.9,7324
'0:0:20.95,7247
'0:0:21.0,7177
'0:0:21.05,7102
'0:0:21.1,7049
'0:0:21.15,7004
'0:0:21.2,6957
'0:0:21.25,6909
'0:0:21.3,6876
'0:0:21.35,6842
'0:0:21.4,6811
'0:0:21.45,6775
'0:0:21.5,6737
'0:0:21.55,6700
'0:0:21.6,6669
'0:0:21.65,6639
'0:0:21.7,6615
'0:0:21.75,6590
'0:0:21.8,6566
'0:0:21.85,6543
'0:0:21.9,6527
'0:0:21.95,6517
'0:0:22.0,6503
'0:0:22.05,6488
'0:0:22.1,6487
'0:0:22.15,6488
'0:0:22.2,6490
'0:0:22.25,6492
'0:0:22.3,6490
'0:0:22.35,6492
'0:0:22.4,6497
'0:0:22.45,6506
'0:0:22.5,6525
'0:0:22.55,6556
'0:0:22.6,6595
'0:0:22.65,6640
'0:0:22.7,6684
'0:0:22.75,6740
'0:0:22.8,6790
'0:0:22.85,6821
'0:0:22.9,6851
'0:0:22.95,6905
'0:0:23.0,6960
'0:0:23.05,7016
'0:0:23.1,7062
'0:0:23.15,7104
'0:0:23.2,7146
'0:0:23.25,7197
'0:0:23.3,7244
'0:0:23.35,7295
'0:0:23.4,7340
'0:0:23.45,7381
'0:0:23.5,7414
'0:0:23.55,7452
'0:0:23.6,7494
'0:0:23.65,7536
'0:0:23.7,7574
'0:0:23.75,7622
'0:0:23.8,7662
'0:0:23.85,7698
'0:0:23.9,7731
'0:0:23.95,7765
'0:0:24.0,7793
'0:0:24.05,7826
'0:0:24.1,7855
'0:0:24.15,7885
'0:0:24.2,7912
'0:0:24.25,7944
'0:0:24.3,7975
'0:0:24.35,8006
'0:0:24.4,8037
'0:0:24.45,8072
'0:0:24.5,8113
'0:0:24.55,8154
'0:0:24.6,8168
'0:0:24.65,8183
'0:0:24.7,8198
'0:0:24.75,8182
'0:0:24.8,8139
'0:0:24.85,8076
'0:0:24.9,7996
'0:0:24.95,7892
'0:0:25.0,7796
'0:0:25.05,7697
'0:0:25.1,7603
'0:0:25.15,7509
'0:0:25.2,7427
'0:0:25.25,7336
'0:0:25.3,7260
'0:0:25.35,7194
'0:0:25.4,7145
'0:0:25.45,7092
'0:0:25.5,7037
'0:0:25.55,6985
'0:0:25.6,6940
'0:0:25.65,6895
'0:0:25.7,6863
'0:0:25.75,6835
'0:0:25.8,6808
'0:0:25.85,6777
'0:0:25.9,6750
'0:0:25.95,6722
'0:0:26.0,6695
'0:0:26.05,6672
'0:0:26.1,6660
'0:0:26.15,6646
'0:0:26.2,6634
'0:0:26.25,6622
'0:0:26.3,6606
'0:0:26.35,6588
'0:0:26.4,6573
'0:0:26.45,6560
'0:0:26.5,6550
'0:0:26.55,6539
'0:0:26.6,6529
'0:0:26.65,6518
'0:0:26.7,6508
'0:0:26.75,6504
'0:0:26.8,6497
'0:0:26.85,6486
'0:0:26.9,6488
'0:0:26.95,6500
'0:0:27.0,6515
'0:0:27.05,6540
'0:0:27.1,6566
'0:0:27.15,6597
'0:0:27.2,6632
'0:0:27.25,6670
'0:0:27.3,6706
'0:0:27.35,6745
'0:0:27.4,6780
'0:0:27.45,6819
'0:0:27.5,6854
'0:0:27.55,6891
'0:0:27.6,6929
'0:0:27.65,6962
'0:0:27.7,6989
'0:0:27.75,7032
'0:0:27.8,7076
'0:0:27.85,7126
'0:0:27.9,7176
'0:0:27.95,7231
'0:0:28.0,7283
'0:0:28.05,7342
'0:0:28.1,7395
'0:0:28.15,7449
'0:0:28.2,7494
'0:0:28.25,7537
'0:0:28.3,7571
'0:0:28.35,7613
'0:0:28.4,7659
'0:0:28.45,7701
'0:0:28.5,7732
'0:0:28.55,7771
'0:0:28.6,7813
'0:0:28.65,7855
'0:0:28.7,7885
'0:0:28.75,7910
'0:0:28.8,7932
'0:0:28.85,7959
'0:0:28.9,7982
'0:0:28.95,7995
'0:0:29.0,8007
'0:0:29.05,8020
'0:0:29.1,8024
'0:0:29.15,8024
'0:0:29.2,8021
'0:0:29.25,8005
'0:0:29.3,7974
'0:0:29.35,7928
'0:0:29.4,7864
'0:0:29.45,7767
'0:0:29.5,7663
'0:0:29.55,7537
'0:0:29.6,7419
'0:0:29.65,7311
'0:0:29.7,7227
'0:0:29.75,7143
'0:0:29.8,7075
'0:0:29.85,7010
'0:0:29.9,6955
'0:0:29.95,6909
'0:0:30.0,6866
'0:0:30.05,6816
'0:0:30.1,6785
'0:0:30.15,6760
'0:0:30.2,6738
'0:0:30.25,6718
'0:0:30.3,6696
'0:0:30.35,6673
'0:0:30.4,6658
'0:0:30.45,6638
'0:0:30.5,6616
'0:0:30.55,6594
'0:0:30.6,6573
'0:0:30.65,6549
'0:0:30.7,6530
'0:0:30.75,6511
'0:0:30.8,6487
'0:0:30.85,6465
'0:0:30.9,6457
'0:0:30.95,6453
'0:0:31.0,6457
'0:0:31.05,6462
'0:0:31.1,6463
'0:0:31.15,6470
'0:0:31.2,6481
'0:0:31.25,6495
'0:0:31.3,6515
'0:0:31.35,6548
'0:0:31.4,6586
'0:0:31.45,6623
'0:0:31.5,6657
'0:0:31.55,6703
'0:0:31.6,6739
'0:0:31.65,6776
'0:0:31.7,6821
'0:0:31.75,6869
'0:0:31.8,6915
'0:0:31.85,6963
'0:0:31.9,7001
'0:0:31.95,7044
'0:0:32.0,7088
'0:0:32.05,7135
'0:0:32.1,7179
'0:0:32.15,7228
'0:0:32.2,7273
'0:0:32.25,7314
'0:0:32.3,7355
'0:0:32.35,7405
'0:0:32.4,7443
'0:0:32.45,7478
'0:0:32.5,7517
'0:0:32.55,7567
'0:0:32.6,7620
'0:0:32.65,7677
'0:0:32.7,7719
'0:0:32.75,7756
'0:0:32.8,7781
'0:0:32.85,7808
'0:0:32.9,7839
'0:0:32.95,7871
'0:0:33.0,7891
'0:0:33.05,7920
'0:0:33.1,7959
'0:0:33.15,8000
'0:0:33.2,8028
'0:0:33.25,8059
'0:0:33.3,8088
'0:0:33.35,8119
'0:0:33.4,8138
'0:0:33.45,8130
'0:0:33.5,8123
'0:0:33.55,8132
'0:0:33.6,8125
'0:0:33.65,8096
'0:0:33.7,8054
'0:0:33.75,7992
'0:0:33.8,7924
'0:0:33.85,7840
'0:0:33.9,7739
'0:0:33.95,7627
'0:0:34.0,7543
'0:0:34.05,7448
'0:0:34.1,7360
'0:0:34.15,7274
'0:0:34.2,7195
'0:0:34.25,7117
'0:0:34.3,7058
'0:0:34.35,6998
'0:0:34.4,6948
'0:0:34.45,6902
'0:0:34.5,6857
'0:0:34.55,6813
'0:0:34.6,6784
'0:0:34.65,6749
'0:0:34.7,6710
'0:0:34.75,6680
'0:0:34.8,6656
'0:0:34.85,6631
'0:0:34.9,6611
'0:0:34.95,6586
'0:0:35.0,6563
'0:0:35.05,6539
'0:0:35.1,6516
'0:0:35.15,6491
'0:0:35.2,6468
'0:0:35.25,6445
'0:0:35.3,6425
'0:0:35.35,6409
'0:0:35.4,6399
'0:0:35.45,6382
'0:0:35.5,6369
'0:0:35.55,6370
'0:0:35.6,6376
'0:0:35.65,6387
'0:0:35.7,6397
'0:0:35.75,6410
'0:0:35.8,6432
'0:0:35.85,6465
'0:0:35.9,6500
'0:0:35.95,6541
'0:0:36.0,6581
'0:0:36.05,6625
'0:0:36.1,6664
'0:0:36.15,6704
'0:0:36.2,6742
'0:0:36.25,6778
'0:0:36.3,6802
'0:0:36.35,6837
'0:0:36.4,6880
'0:0:36.45,6924
'0:0:36.5,6970
'0:0:36.55,7030
'0:0:36.6,7083
'0:0:36.65,7141
'0:0:36.7,7197
'0:0:36.75,7260
'0:0:36.8,7321
'0:0:36.85,7379
'0:0:36.9,7423
'0:0:36.95,7471
'0:0:37.0,7524
'0:0:37.05,7576
'0:0:37.1,7617
'0:0:37.15,7667
'0:0:37.2,7716
'0:0:37.25,7761
'0:0:37.3,7793
'0:0:37.35,7814
'0:0:37.4,7830
'0:0:37.45,7857
'0:0:37.5,7881
'0:0:37.55,7894
'0:0:37.6,7892
'0:0:37.65,7873
'0:0:37.7,7847
'0:0:37.75,7807
'0:0:37.8,7742
'0:0:37.85,7647
'0:0:37.9,7542
'0:0:37.95,7420
'0:0:38.0,7323
'0:0:38.05,7235
'0:0:38.1,7153
'0:0:38.15,7070
'0:0:38.2,7010
'0:0:38.25,6949
'0:0:38.3,6898
'0:0:38.35,6854
'0:0:38.4,6816
'0:0:38.45,6769
'0:0:38.5,6730
'0:0:38.55,6694
'0:0:38.6,6651
'0:0:38.65,6602
'0:0:38.7,6569
'0:0:38.75,6536
'0:0:38.8,6514
'0:0:38.85,6491
'0:0:38.9,6464
'0:0:38.95,6438
'0:0:39.0,6416
'0:0:39.05,6396
'0:0:39.1,6384
'0:0:39.15,6374
'0:0:39.2,6371
'0:0:39.25,6375
'0:0:39.3,6384
'0:0:39.35,6388
'0:0:39.4,6386
'0:0:39.45,6391
'0:0:39.5,6402
'0:0:39.55,6417
'0:0:39.6,6434
'0:0:39.65,6454
'0:0:39.7,6481
'0:0:39.75,6518
'0:0:39.8,6554
'0:0:39.85,6598
'0:0:39.9,6639
'0:0:39.95,6681
'0:0:40.0,6713
'0:0:40.05,6741
'0:0:40.1,6770
'0:0:40.15,6796
'0:0:40.2,6814
'0:0:40.25,6849
'0:0:40.3,6891
'0:0:40.35,6930
'0:0:40.4,6966
'0:0:40.45,7007
'0:0:40.5,7050
'0:0:40.55,7106
'0:0:40.6,7162
'0:0:40.65,7225
'0:0:40.7,7280
'0:0:40.75,7338
'0:0:40.8,7387
'0:0:40.85,7433
'0:0:40.9,7482
'0:0:40.95,7534
'0:0:41.0,7573
'0:0:41.05,7613
'0:0:41.1,7648
'0:0:41.15,7676
'0:0:41.2,7688
'0:0:41.25,7679
'0:0:41.3,7656
'0:0:41.35,7615
'0:0:41.4,7556
'0:0:41.45,7492
'0:0:41.5,7428
'0:0:41.55,7337
'0:0:41.6,7242
'0:0:41.65,7144
'0:0:41.7,7060
'0:0:41.75,6969
'0:0:41.8,6900
'0:0:41.85,6847
'0:0:41.9,6807
'0:0:41.95,6765
'0:0:42.0,6726
'0:0:42.05,6684
'0:0:42.1,6646
'0:0:42.15,6604
'0:0:42.2,6568
'0:0:42.25,6534
'0:0:42.3,6503
'0:0:42.35,6468
'0:0:42.4,6437
'0:0:42.45,6409
'0:0:42.5,6377
'0:0:42.55,6338
'0:0:42.6,6317
'0:0:42.65,6299
'0:0:42.7,6283
'0:0:42.75,6266
'0:0:42.8,6247
'0:0:42.85,6231
'0:0:42.9,6221
'0:0:42.95,6212
'0:0:43.0,6206
'0:0:43.05,6203
'0:0:43.1,6207
'0:0:43.15,6217
'0:0:43.2,6232
'0:0:43.25,6256
'0:0:43.3,6279
'0:0:43.35,6314
'0:0:43.4,6365
'0:0:43.45,6418
'0:0:43.5,6466
'0:0:43.55,6516
'0:0:43.6,6553
'0:0:43.65,6597
'0:0:43.7,6645
'0:0:43.75,6698
'0:0:43.8,6745
'0:0:43.85,6793
'0:0:43.9,6834
'0:0:43.95,6874
'0:0:44.0,6918
'0:0:44.05,6972
'0:0:44.1,7017
'0:0:44.15,7070
'0:0:44.2,7123
'0:0:44.25,7177
'0:0:44.3,7226
'0:0:44.35,7275
'0:0:44.4,7317
'0:0:44.45,7367
'0:0:44.5,7419
'0:0:44.55,7469
'0:0:44.6,7504
'0:0:44.65,7535
'0:0:44.7,7560
'0:0:44.75,7590
'0:0:44.8,7621
'0:0:44.85,7653
'0:0:44.9,7681
'0:0:44.95,7711
'0:0:45.0,7735
'0:0:45.05,7761
'0:0:45.1,7777
'0:0:45.15,7765
'0:0:45.2,7728
'0:0:45.25,7668
'0:0:45.3,7592
'0:0:45.35,7488
'0:0:45.4,7381
'0:0:45.45,7264
'0:0:45.5,7164
'0:0:45.55,7064
'0:0:45.6,6982
'0:0:45.65,6915
'0:0:45.7,6865
'0:0:45.75,6818
'0:0:45.8,6777
'0:0:45.85,6726
'0:0:45.9,6680
'0:0:45.95,6635
'0:0:46.0,6596
'0:0:46.05,6555
'0:0:46.1,6518
'0:0:46.15,6475
'0:0:46.2,6440
'0:0:46.25,6403
'0:0:46.3,6362
'0:0:46.35,6328
'0:0:46.4,6306
'0:0:46.45,6284
'0:0:46.5,6268
'0:0:46.55,6257
'0:0:46.6,6242
'0:0:46.65,6227
'0:0:46.7,6217
'0:0:46.75,6216
'0:0:46.8,6223
'0:0:46.85,6234
'0:0:46.9,6248
'0:0:46.95,6277
'0:0:47.0,6306
'0:0:47.05,6333
'0:0:47.1,6365
'0:0:47.15,6410
'0:0:47.2,6458
'0:0:47.25,6524
'0:0:47.3,6583
'0:0:47.35,6643
'0:0:47.4,6705
'0:0:47.45,6771
'0:0:47.5,6829
'0:0:47.55,6893
'0:0:47.6,6945
'0:0:47.65,6993
'0:0:47.7,7039
'0:0:47.75,7089
'0:0:47.8,7131
'0:0:47.85,7180
'0:0:47.9,7228
'0:0:47.95,7277
'0:0:48.0,7323
'0:0:48.05,7369
'0:0:48.1,7411
'0:0:48.15,7461
'0:0:48.2,7503
'0:0:48.25,7545
'0:0:48.3,7586
'0:0:48.35,7624
'0:0:48.4,7655
'0:0:48.45,7693
'0:0:48.5,7724
'0:0:48.55,7750
'0:0:48.6,7783
'0:0:48.65,7818
'0:0:48.7,7841
'0:0:48.75,7856
'0:0:48.8,7845
'0:0:48.85,7801
'0:0:48.9,7730
'0:0:48.95,7627
'0:0:49.0,7519
'0:0:49.05,7404
'0:0:49.1,7310
'0:0:49.15,7214
'0:0:49.2,7132
'0:0:49.25,7052
'0:0:49.3,6984
'0:0:49.35,6919
'0:0:49.4,6868
'0:0:49.45,6825
'0:0:49.5,6786
'0:0:49.55,6737
'0:0:49.6,6695
'0:0:49.65,6657
'0:0:49.7,6623
'0:0:49.75,6587
'0:0:49.8,6555
'0:0:49.85,6519
'0:0:49.9,6490
'0:0:49.95,6465
'0:0:50.0,6436
'0:0:50.05,6408
'0:0:50.1,6390
'0:0:50.15,6371
'0:0:50.2,6353
'0:0:50.25,6332
'0:0:50.3,6311
'0:0:50.35,6296
'0:0:50.4,6283
'0:0:50.45,6269
'0:0:50.5,6259
'0:0:50.55,6250
'0:0:50.6,6244
'0:0:50.65,6247
'0:0:50.7,6258
'0:0:50.75,6263
'0:0:50.8,6268
'0:0:50.85,6294
'0:0:50.9,6336
'0:0:50.95,6397
'0:0:51.0,6451
'0:0:51.05,6497
'0:0:51.1,6540
'0:0:51.15,6590
'0:0:51.2,6635
'0:0:51.25,6682
'0:0:51.3,6725
'0:0:51.35,6768
'0:0:51.4,6803
'0:0:51.45,6844
'0:0:51.5,6879
'0:0:51.55,6915
'0:0:51.6,6959
'0:0:51.65,7012
'0:0:51.7,7059
'0:0:51.75,7106
'0:0:51.8,7147
'0:0:51.85,7189
'0:0:51.9,7228
'0:0:51.95,7262
'0:0:52.0,7288
'0:0:52.05,7320
'0:0:52.1,7353
'0:0:52.15,7388
'0:0:52.2,7424
'0:0:52.25,7471
'0:0:52.3,7515
'0:0:52.35,7565
'0:0:52.4,7609
'0:0:52.45,7647
'0:0:52.5,7673
'0:0:52.55,7664
'0:0:52.6,7596
'0:0:52.65,7479
'0:0:52.7,7359
'0:0:52.75,7226
'0:0:52.8,7117
'0:0:52.85,7016
'0:0:52.9,6934
'0:0:52.95,6859
'0:0:53.0,6800
'0:0:53.05,6737
'0:0:53.1,6688
'0:0:53.15,6654
'0:0:53.2,6626
'0:0:53.25,6601
'0:0:53.3,6580
'0:0:53.35,6560
'0:0:53.4,6550
'0:0:53.45,6539
'0:0:53.5,6525
'0:0:53.55,6514
'0:0:53.6,6514
'0:0:53.65,6522
'0:0:53.7,6527
'0:0:53.75,6522
'0:0:53.8,6509
'0:0:53.85,6514
'0:0:53.9,6547
'0:0:53.95,6583
'0:0:54.0,6615
'0:0:54.05,6664
'0:0:54.1,6712
'0:0:54.15,6761
'0:0:54.2,6812
'0:0:54.25,6874
'0:0:54.3,6935
'0:0:54.35,6999
'0:0:54.4,7052
'0:0:54.45,7104
'0:0:54.5,7147
'0:0:54.55,7192
'0:0:54.6,7238
'0:0:54.65,7299
'0:0:54.7,7363
'0:0:54.75,7435
'0:0:54.8,7502
'0:0:54.85,7567
'0:0:54.9,7619
'0:0:54.95,7670
'0:0:55.0,7716
'0:0:55.05,7763
'0:0:55.1,7801
'0:0:55.15,7838
'0:0:55.2,7870
'0:0:55.25,7906
'0:0:55.3,7933
'0:0:55.35,7957
'0:0:55.4,7982
'0:0:55.45,8009
'0:0:55.5,8029
'0:0:55.55,8046
'0:0:55.6,8050
'0:0:55.65,8040
'0:0:55.7,8025
'0:0:55.75,7999
'0:0:55.8,7954
'0:0:55.85,7879
'0:0:55.9,7794
'0:0:55.95,7678
'0:0:56.0,7564
'0:0:56.05,7453
'0:0:56.1,7345
'0:0:56.15,7226
'0:0:56.2,7126
'0:0:56.25,7029
'0:0:56.3,6946
'0:0:56.35,6867
'0:0:56.4,6797
'0:0:56.45,6718
'0:0:56.5,6654
'0:0:56.55,6589
'0:0:56.6,6535
'0:0:56.65,6488
'0:0:56.7,6446
'0:0:56.75,6405
'0:0:56.8,6371
'0:0:56.85,6335
'0:0:56.9,6309
'0:0:56.95,6277
'0:0:57.0,6247
'0:0:57.05,6228
'0:0:57.1,6212
'0:0:57.15,6194
'0:0:57.2,6178
'0:0:57.25,6157
'0:0:57.3,6144
'0:0:57.35,6135
'0:0:57.4,6131
'0:0:57.45,6137
'0:0:57.5,6153
'0:0:57.55,6186
'0:0:57.6,6235
'0:0:57.65,6304
'0:0:57.7,6372
'0:0:57.75,6448
'0:0:57.8,6509
'0:0:57.85,6573
'0:0:57.9,6641
'0:0:57.95,6711
'0:0:58.0,6772
'0:0:58.05,6836
'0:0:58.1,6889
'0:0:58.15,6941
'0:0:58.2,6990
'0:0:58.25,7042
'0:0:58.3,7088
'0:0:58.35,7131
'0:0:58.4,7171
'0:0:58.45,7212
'0:0:58.5,7250
'0:0:58.55,7304
'0:0:58.6,7357
'0:0:58.65,7409
'0:0:58.7,7458
'0:0:58.75,7514
'0:0:58.8,7564
'0:0:58.85,7617
